//d³ugoœæ	05:18.750
MILLIS	318750
TITLE	<empty>
ARTIST	<empty>
MUSIC	<empty>
LYRICS	<empty>
CREATOR	<empty>
VERSION	<empty>
NOTE	<empty>
45235	140	0	W mo
45475	131	0	im 
45706	130	0	o
45936	140	0	gro
46176	131	0	dzie 
46407	370	0	gdzie 
46877	371	0	czas 
47348	170	0	le
47618	331	0	ni
48049	841	0	wy 
48990	131	0	Po
49221	130	0	wo
49451	150	0	ln¹ 
49701	121	0	stru
49922	611	0	g¹ 
50633	130	0	p³y
50863	371	0	n¹³ 
51334	130	0	wy
51564	130	0	trwa
51794	842	0	le 
52736	130	0	W mo
52966	140	0	im 
53206	131	0	o
53437	140	0	gro
53677	381	0	dzie, 
54158	350	0	gdzie 
54608	381	0	je
55089	130	0	szcze 
55319	131	0	ni
55550	841	0	gdy 
56491	130	0	Tak 
56721	131	0	da
56952	140	0	wno 
57192	601	0	s³ów 
57893	131	0	przy
58124	1322	0	ja
59546	360	0	znych 
60006	131	0	pa
60237	0	0	rê. 
60237	14901	0	/
75238	130	0	W mo
75468	141	0	im 
75709	130	0	o
75939	130	0	gro
76169	141	0	dzie 
76410	370	0	gdzie 
76880	361	0	smu
77341	140	0	tek 
77581	371	0	go
78052	832	0	œci 
78984	140	0	Gdzie 
79224	130	0	go
79454	131	0	rzkie 
79685	380	0	dni 
80165	361	0	i 
80626	130	0	go
80856	371	0	rzkie 
81327	371	0	no
81798	841	0	ce 
82739	130	0	W mo
82969	141	0	im 
83210	130	0	o
83440	130	0	gro
83670	371	0	dzie, 
84141	371	0	gdzie 
84612	370	0	sa
85082	131	0	mo
85313	140	0	tno
85553	831	0	œci 
86484	141	0	Nikt 
86725	130	0	nie 
86955	130	0	ro
87185	141	0	zja
87426	370	0	œnia³, 
87896	131	0	gdzie 
88127	1312	0	ni
89539	370	0	gdy 
90009	131	0	do
90240	0	0	syæ. 
90240	14901	0	/
105241	131	0	W mo
105472	130	0	im 
105702	140	0	o
105942	131	0	gro
106173	140	0	dzie 
106413	361	0	gdzie 
106874	370	0	d³u
107344	141	0	ga 
107585	360	0	zi
108045	842	0	ma 
108987	130	0	Zmro
109217	140	0	zi
109457	141	0	³a 
109698	360	0	wszy
110158	371	0	stkie 
110629	130	0	cie
110859	371	0	p³e 
111330	130	0	u
