# Cicha noc; length: 195453
8010	 Ci
9020	cha
9494	 noc,
11005	 świę
12005	ta
12494	 noc!
14031	 Wszyst
14984	ko
15510	 śpi
17026	 a
18005	to
18489	li
20020	 Czu
20994	wa
21510	 Jó
22260	zef
22541	 i
22994	 Ma
24010	ry
24510	ja,
26005	 Niech
27010	 więc
27520	 Bos
28276	ka
28567	 ich
29010	 Dzie
30026	ci
30494	na
32015	 W bło
33020	gim
33505	 po
34265	ko
34505	ju
35015	 śpi
36520	!
38005	 W bło
38989	gim
39494	 po
40260	ko
40515	ju
41020	 śpi!
44010	 Ci
45020	cha
45494	 noc,
47005	 świę
48005	ta
48494	 noc!
50031	 To
50984	bie
51510	 cześć
53026	 chce
54005	my
54489	 nieść,
56020	 Boś
56994	 pas
57510	tusz
58260	kom
58541	 oz
58994	naj
60010	mio
60510	ny
62005	 Przez
63010	 A
63520	niel
64276	skie
64567	 Al
65010	le
66026	lu
66494	ja
68015	 Je
69020	zu
69505	 wi
70265	ta
70505	my
71015	 Cię
72520	!
74005	 Je
74989	zu
75494	 wi
76260	ta
76515	my
77020	 Cię!
80010	 Ci
81020	cha
81494	 noc,
83005	 świę
84005	ta
84494	 noc!
86031	 Bo
86984	że
87510	 nasz,
89026	 ser
90005	ca
90489	 masz,
92020	 Ra
92994	dość
93510	 spra
94260	wia
94541	 nam
94994	 no
96010	wi
96510	na,
98005	 Że
99010	 na
99520	desz
100276	ła
100567	 ta
101010	 go
102026	dzi
102494	na
104015	 W któ
105020	rejś
105505	 na
106265	ro
106505	dził
107015	 się
108520	.
110005	 W któ
110989	rejś
111494	 na
112260	ro
112515	dził
113020	 się.
113020	
