#Cicha noc
6010	Ci
6739	ch
7020	a 
7494	noc, 
9005	swie
9729	t
10005	a 
10494	noc! 
10494	
12031	Po
12984	koj 
13510	ludziom 
15026	nie
16005	sie 
16489	wszem. 
16489	
16489	

18020	A 
18994	u 
19510	zlo
20260	b
20541	ka 
20994	Ma
21755	t
22010	ka 
22510	Swieta 
22510	
24005	Czu
25010	wa 
25520	sa
26276	m
26567	a 
27010	u
27760	smie
28026	ch
28494	nieta 
28494	
28494	

30015	Nad 
31020	dzie
31505	cia
32265	t
32505	ka 
33015	sne
34520	m, 
34520	
36005	N
36494	a
36989	d 
37494	dzie
38260	ciat
38515	ka 
39020	snem. 
39020	
39020	

42010	Ci
42739	ch
43020	a 
43494	noc, 
45005	swie
45729	t
46005	a 
46494	noc! 
46494	
48031	Pas
48984	tusz
49510	kowie 
51026	od 
52005	swych 
52489	trzod 
52489	
52489	

54020	Bieg
54994	na 
55510	wie
56260	l
56541	ce 
56994	za
57755	dzi
58010	wie
58510	ni 
58510	
60005	Za 
61010	a
61520	niel
62276	ski
62567	m 
63010	glo
63760	sem 
64026	pie
64494	ni, 
64494	 
66015	Gdzie 
67020	sie 
67505	spel
68265	ni
68505	l 
69015	cu
70520	d, 
70520	
72005	Gdzie 
72494	si
72989	e 
73494	spe
74260	l
74515	nil 
75020	cud.
